symbol,json_side,qty,alpaca_side,limit_price,order_id,status,created_at
AAVE/USD,buy,0.75741784,buy,274.32,e33f1a99-7f60-4aa7-9e9f-2bcbaac453b4,pending_new,2025-06-15T18:13:38.09436253Z
BTC/USD,buy,0.00209466,buy,105733.66,b21589b2-afcb-4bd3-83ab-d30305d0f2a0,pending_new,2025-06-15T18:13:38.748049128Z
ETH/USD,buy,0.07715908,buy,2549.55,d73dc4fd-5d33-4b8c-9778-cd9793077167,pending_new,2025-06-15T18:13:39.394906196Z
UNI/USD,buy,23.80959973,buy,7.1381,9e092ffe-11a7-42fb-af27-93fc7efc4d3b,pending_new,2025-06-15T18:13:40.035957324Z
AVAX/USD,buy,3.67925803,buy,19.0457,f3eef720-360d-4f42-a613-ee047ae5dde6,pending_new,2025-06-15T18:26:42.213989047Z
CRV/USD,buy,159.07730491,buy,0.5868,a0ac6187-ca5b-4dea-b27d-1683a13a3fb5,pending_new,2025-06-15T18:26:42.842872865Z
AVAX/USD,buy,3.67925803,buy,19.08,3f3fd7be-24ad-4733-8e7e-eaf6961db02b,pending_new,2025-06-15T18:29:05.090877424Z
CRV/USD,buy,159.07730491,buy,0.5873,fb932827-2ff8-4ef2-b74d-461b4e031c1c,pending_new,2025-06-15T18:29:05.762807412Z
AVAX/USD,buy,3.67925803,buy,19.08,81e81064-a32e-4b9f-83aa-90d6f4a02b14,pending_new,2025-06-15T18:29:46.145365259Z
CRV/USD,buy,159.07730491,buy,0.5873,f39bcabe-1d1d-456c-8eef-e479765a8b45,pending_new,2025-06-15T18:29:46.795611588Z
AVAX/USD,buy,3.67925803,buy,19.08,35712700-249e-4bb4-ba33-9dd256059ed9,pending_new,2025-06-15T18:30:10.050572312Z
CRV/USD,buy,159.07730491,buy,0.5873,e5e2255e-297d-42b1-843c-e26f56966cd3,pending_new,2025-06-15T18:30:10.684722781Z
AVAX/USD,buy,3.67925803,buy,19.08,e83edc72-c4ff-405a-90b6-2c221e02d6aa,pending_new,2025-06-15T18:30:52.534553412Z
AVAX/USD,buy,3.67925803,buy,19.08,e6b636f9-24c4-47a4-8228-f48c9213dfe3,pending_new,2025-06-15T18:31:11.993989086Z
AVAX/USD,buy,3.67925803,buy,19.07,f4d4c822-c25e-44f0-a764-09c6755886fc,pending_new,2025-06-15T18:31:50.485669832Z
BTC/USD,sell,8.9423e-05,sell,105486.49,6e7b1cde-fa5c-4236-b0cf-468a9ed068ca,pending_new,2025-06-15T18:31:50.900862615Z
